file,class,contact_sheets,contact_rows,distinct_emails,multiemail_cells,fwdfill_rows,mapped_fields,google
260016-Contacts.xlsx,AUTO,1,52,52,0,0,company|contact|email|role,
260019-Contacts.xlsx,MANUAL,1,21,23,0,0,address|contact|mobile|phone,
260020-Contacts.xlsx,AUTO,1,37,39,1,15,company|contact|discipline|email|mobile|phone|role,
260021-Contacts.xlsx,AUTO,2,180,150,0,138,company|contact|email|mobile|role,
260022-Contacts.xlsx,AUTO,1,31,40,6,4,address|company|contact|email|mobile|phone,
260024-Contacts.xlsx,NON_CONTACT,0,0,0,0,0,,
260027-Contacts.xlsx,AUTO,1,20,20,0,8,company|contact|discipline|email|phone,
260029-Contacts.xlsx,AUTO,1,19,18,0,5,company|email|mobile|phone|role,
260030-Contacts.xlsx,MANUAL,1,28,30,0,7,address|company|contact|discipline|mobile|phone,
260031-Contacts.xlsx,AUTO,1,56,58,0,26,company|contact|discipline|email|mobile|phone,
260033-Contacts.xlsx,AUTO,1,305,300,0,8,company|contact|email|phone|role,
260038-Contacts.xlsx,AUTO,1,28,26,0,0,contact|email|mobile|phone,
260040-Contacts.xlsx,AUTO,1,43,43,0,4,address|company|contact|email|phone|role,
260046-Contacts.xlsx,AUTO,1,37,37,0,0,contact|discipline|email|mobile|phone,
260048-Contacts.xlsx,AUTO,1,12,12,0,3,address|company|contact|discipline|email|mobile|phone,
260049-Contacts.xlsx,AUTO,1,23,41,13,0,contact|email|phone,
260055-Contacts.xlsx,AUTO,1,22,21,0,0,company|contact|discipline|email|mobile|phone,
260057-Contacts.xlsx,AUTO,1,50,52,3,27,address|company|contact|email|mobile|phone|role,
260062-Contacts.xlsx,AUTO,1,34,35,0,21,company|contact|email|mobile|note|phone|role,
260063-Contacts.xlsx,AUTO,2,41,40,1,0,contact|discipline|email|mobile|phone|role,
260064-Contacts.xlsx,AUTO,1,21,21,0,0,address|contact|discipline|email|mobile|phone,
260067-Contacts.xlsx,AUTO,1,27,27,0,2,address|company|contact|email|phone|role,
260069-Contacts.xlsx,AUTO,1,8,8,0,2,company|contact|email|role,
260071-Contacts.xlsx,AUTO,1,18,22,0,1,company|contact|email|phone|role,
260072-Contacts.xlsx,AUTO,1,23,36,11,0,address|contact|discipline|email|phone,
260077-Contacts.xlsx,AUTO,1,21,21,0,0,contact|discipline|email|mobile|phone,
260082-Contacts.xlsx,AUTO,1,69,69,0,44,address|company|contact|discipline|email|mobile|phone,
260086-Contacts.xlsx,HEADERLESS_EMAILS,1,10,10,0,0,,
260090-Contacts.xlsx,AUTO,2,49,51,2,0,company|contact|email|mobile|phone|role,
260100-Contacts.xlsx,HEADERLESS_EMAILS,1,45,45,0,0,,
260101-Contacts.xlsx,AUTO,1,23,23,0,8,company|contact|email|phone|role,
260102-Contacts.xlsx,AUTO,1,40,40,0,24,company|contact|email|mobile|role,
